"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C2","1nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C3","4u7 250V","~","Capacitor_THT:CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal","1",""
"D1","UF5400","http://www.vishay.com/docs/88756/uf5400.pdf","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"J1","Conn_01x02_Socket","~","Connector:Banana_Jack_2Pin","1",""
"J2","Conn_01x02_Pin","~","Connector:Banana_Jack_2Pin","1",""
"L1","100uH","~","Inductor_SMD:L_10.4x10.4_H4.8","1",""
"Q1","IRF740","http://www.vishay.com/docs/91054/91054.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1","0R22","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R2","180","~","Resistor_SMD:R_0805_2012Metric","1",""
"R4","150k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R5","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"U1","MC34063AD","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
